,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Snow Depth [cm],Moisture,Albedo (CMP11),DATE
10589,119.249,418.198,130.06849,4.05,-1.724,-11.824000000000002,27.0,8,1.45,287.1,809.0260000000002,0.0,0.185,0.0,0.2491,2000-01-08 08:29:00
10590,126.952,450.052,130.24983,4.117,-1.639,-11.439,27.82,10,3.2,265.7,809.0110000000002,0.0,0.048,0.0,0.2507,2000-01-08 08:30:00
10591,141.42600000000004,523.418,130.43158,3.908,-1.65,-10.95,29.5,11,2.45,278.8,809.0,0.0,0.532,0.0,0.2554,2000-01-08 08:31:00
10592,169.142,669.56,130.61373999999998,3.664,-1.838,-11.138,29.51,15,2.7,278.8,808.9739999999998,0.0,0.095,0.0,0.2631,2000-01-08 08:32:00
10593,183.328,737.699,130.79632,3.5610000000000004,-1.885,-11.185,29.6,17,3.2,281.0,808.947,0.0,0.134,0.0,0.2665,2000-01-08 08:33:00
10594,192.234,774.36,130.97931,3.553,-1.969,-11.469,28.87,17,2.7,280.4,808.914,0.0,0.196,0.0,0.2664,2000-01-08 08:34:00
10595,183.518,718.6,131.16272,3.626,-1.86,-11.16,29.53,16,2.2,295.5,808.9069999999998,0.0,0.119,0.0,0.2605,2000-01-08 08:35:00
10596,188.786,743.9110000000002,131.34654,3.655,-1.774,-11.074000000000002,29.7,15,2.7,292.4,808.9060000000002,0.0,0.13699999999999998,0.0,0.2623,2000-01-08 08:36:00
10597,193.285,759.362,131.53079,3.713,-1.786,-11.286,29.02,16,1.7,300.3,808.888,0.0,0.179,0.0,0.2613,2000-01-08 08:37:00
10598,196.105,768.597,131.71546,3.803,-1.735,-11.235,28.97,16,2.45,300.6,808.867,0.0,0.172,0.0,0.2619,2000-01-08 08:38:00
10599,201.695,790.154,131.90055,3.946,-1.6880000000000002,-11.188,28.8,16,1.7,295.1,808.855,0.0,0.224,0.0,0.2629,2000-01-08 08:39:00
10600,203.386,792.132,132.08607,4.158,-1.628,-11.328,28.02,13,1.7,297.2,808.8439999999998,0.0,0.26,0.0,0.262,2000-01-08 08:40:00
10601,199.025,760.554,132.27201000000002,4.398,-1.444,-11.244000000000002,27.76,12,1.95,294.5,808.834,0.0,0.243,0.0,0.2585,2000-01-08 08:41:00
10602,166.388,598.606,132.45838999999998,4.602,-1.256,-11.056,27.83,11,1.95,289.2,808.832,0.0,0.251,0.0,0.2513,2000-01-08 08:42:00
10603,200.801,763.9060000000002,132.64519,4.791,-1.2009999999999998,-11.001,27.6,13,1.95,287.5,808.85,0.0,0.232,0.0,0.2627,2000-01-08 08:43:00
10604,210.233,798.7489999999998,132.83243000000002,5.019,-1.011,-11.011,27.14,14,1.95,301.2,808.862,0.0,0.268,0.0,0.2616,2000-01-08 08:44:00
10605,212.313,801.4860000000001,133.0201,5.254,-0.887,-10.787,27.24,15,2.45,278.5,808.868,0.0,0.168,0.0,0.2613,2000-01-08 08:45:00
10606,214.663,804.512,133.20821,5.358,-0.872,-10.972,26.6,15,2.95,280.4,808.8660000000001,0.0,0.128,0.0,0.261,2000-01-08 08:46:00
10607,217.511,807.123,133.39675,5.372000000000001,-0.892,-11.092,26.29,13,3.2,284.5,808.87,0.0,0.11,0.0,0.2606,2000-01-08 08:47:00
10608,219.451,804.62,133.58574,5.351,-0.866,-11.066,26.39,12,3.7,284.5,808.89,0.0,0.1,0.0,0.2599,2000-01-08 08:48:00
10609,216.718,779.9780000000002,133.77516,5.317,-0.8370000000000001,-10.937,26.76,12,4.2,276.3,808.908,0.0,0.092,0.0,0.2584,2000-01-08 08:49:00
10610,210.951,742.15,133.96501999999998,5.254,-0.979,-11.179,26.3,13,3.95,280.8,808.9,0.0,0.112,0.0,0.2563,2000-01-08 08:50:00
10611,208.919,719.2689999999999,134.15533,5.172999999999999,-0.99,-11.09,26.66,12,3.7,269.9,808.923,0.0,0.147,0.0,0.256,2000-01-08 08:51:00
10612,187.382,609.9540000000002,134.34609,5.14,-1.012,-11.012,26.91,9,3.45,272.6,808.955,0.0,0.16399999999999998,0.0,0.2507,2000-01-08 08:52:00
10613,164.648,497.473,134.53728999999998,5.142,-1.048,-11.148,26.58,8,4.7,258.0,808.9730000000002,0.0,0.174,0.0,0.2442,2000-01-08 08:53:00
10614,157.121,459.605,134.72894,5.154,-1.078,-11.278,26.25,8,3.7,262.3,809.003,0.0,0.161,0.0,0.2431,2000-01-08 08:54:00
10615,183.899,561.066,134.92103,5.136,-1.077,-11.377,26.05,10,3.45,267.3,809.005,0.0,0.17600000000000002,0.0,0.2468,2000-01-08 08:55:00
10616,194.373,588.261,135.11358,5.152,-1.063,-11.463,25.82,12,3.7,281.6,808.966,0.0,0.156,0.0,0.2486,2000-01-08 08:56:00
10617,184.041,531.066,135.30658,5.144,-1.026,-11.425999999999998,25.92,12,3.45,293.9,808.938,0.0,0.16399999999999998,0.0,0.2452,2000-01-08 08:57:00
10618,170.562,461.382,135.50003999999998,5.143,-1.087,-11.487,25.78,13,2.7,292.0,808.945,0.0,0.16399999999999998,0.0,0.2415,2000-01-08 08:58:00
10619,136.743,312.574,135.69395,5.193,-1.036,-11.436,25.81,11,3.7,287.4,808.9580000000002,0.0,0.162,0.0,0.2308,2000-01-08 08:59:00
10620,105.331,177.518,135.88831000000002,5.235,-0.982,-11.382,25.86,10,2.95,298.8,808.961,0.0,0.177,0.0,0.2151,2000-01-08 09:00:00
10621,98.4039,142.628,136.08314,5.2429999999999986,-1.058,-11.658,25.21,10,3.45,297.3,808.952,0.0,0.241,0.0,0.2099,2000-01-08 09:01:00
10622,112.579,192.335,136.27841999999998,5.2879999999999985,-1.031,-11.431,25.65,12,2.7,290.0,808.92,0.0,0.15,0.0,0.2159,2000-01-08 09:02:00
10623,135.26,273.455,136.47417,5.295,-1.0659999999999998,-11.666,25.1,12,2.7,284.3,808.8919999999998,0.0,0.153,0.0,0.2185,2000-01-08 09:03:00
10624,96.7523,120.561,136.67037,5.292000000000002,-1.042,-11.642,25.16,13,2.45,286.0,808.855,0.0,0.149,0.0,0.2001,2000-01-08 09:04:00
10625,69.9234,28.1298,136.86704,5.2639999999999985,-0.994,-11.594,25.32,13,2.45,283.3,808.798,0.0,0.13,0.0,0.1804,2000-01-08 09:05:00
10626,67.41,24.5295,137.06417,5.188,-1.048,-11.648,25.33,13,2.45,275.3,808.73,0.0,0.14800000000000002,0.0,0.1775,2000-01-08 09:06:00
10627,64.5576,18.6791,137.26176999999998,5.127000000000002,-1.173,-11.673,25.38,11,2.45,274.9,808.666,0.0,0.188,0.0,0.1734,2000-01-08 09:07:00
10628,61.9926,14.3518,137.45984,5.075,-1.157,-11.657,25.51,11,2.45,267.2,808.6089999999998,0.0,0.18,0.0,0.1718,2000-01-08 09:08:00
10629,69.3332,44.7318,137.65837,5.001,-1.1840000000000002,-11.684,25.58,9,2.7,274.2,808.563,0.0,0.162,0.0,0.1824,2000-01-08 09:09:00
10630,137.559,304.65,137.85737,4.898,-1.243,-11.643,25.86,8,2.45,274.4,808.5239999999999,0.0,0.146,0.0,0.2231,2000-01-08 09:10:00
10631,206.85,549.888,138.05684,4.856,-1.232,-11.632,25.96,10,2.2,281.5,808.47,0.0,0.17600000000000002,0.0,0.24100000000000002,2000-01-08 09:11:00
10632,219.953,598.443,138.25678,4.859,-1.3159999999999998,-11.716,25.76,9,2.2,289.0,808.429,0.0,0.236,0.0,0.2413,2000-01-08 09:12:00
10633,214.975,573.9780000000002,138.4572,4.964,-1.269,-11.769,25.45,10,1.7,280.9,808.403,0.0,0.277,0.0,0.2355,2000-01-08 09:13:00
10634,198.55900000000003,520.217,138.65809,5.099,-1.178,-11.778,25.19,7,1.2,270.9,808.3969999999998,0.0,0.32,0.0,0.2318,2000-01-08 09:14:00
10635,234.012,649.043,138.85945,5.269,-0.985,-11.585,25.33,7,0.0,0.0,808.368,0.0,0.301,0.0,0.2364,2000-01-08 09:15:00
10636,258.038,736.826,139.06128,5.462999999999999,-0.912,-11.612,24.93,8,1.2,269.9,808.3580000000002,0.0,0.285,0.0,0.24100000000000002,2000-01-08 09:16:00
10637,284.466,823.84,139.2636,5.654,-0.847,-11.447,24.97,10,0.95,241.4,808.3639999999998,0.0,0.331,0.0,0.2424,2000-01-08 09:17:00
10638,294.5,856.194,139.46639,5.912000000000001,-0.527,-11.027,25.47,8,0.95,223.8,808.363,0.0,0.301,0.0,0.2431,2000-01-08 09:18:00
10639,288.809,828.837,139.66966000000002,6.207000000000002,-0.364,-10.664,25.78,9,0.95,222.3,808.355,0.0,0.126,0.0,0.2426,2000-01-08 09:19:00
10640,280.107,797.773,139.8734,6.3660000000000005,-0.276,-10.876,25.02,8,1.45,220.2,808.328,0.0,0.023,0.0,0.2421,2000-01-08 09:20:00
10641,287.403,818.707,140.07763,6.3660000000000005,-0.289,-10.889,24.99,9,1.7,237.4,808.299,0.0,0.532,0.0,0.2417,2000-01-08 09:21:00
10642,288.772,819.275,140.28233,6.311,-0.336,-10.736,25.43,9,1.95,240.1,808.295,0.0,0.0,0.0,0.2413,2000-01-08 09:22:00
10643,298.021,848.11,140.48752,6.254,-0.319,-10.719,25.57,8,1.45,259.4,808.2689999999999,0.0,0.079,0.0,0.2417,2000-01-08 09:23:00
10644,290.835,816.413,140.69319,6.2570000000000014,-0.445,-11.045,24.83,8,1.7,239.2,808.22,0.0,0.155,0.0,0.2402,2000-01-08 09:24:00
10645,296.967,833.465,140.89935,6.3370000000000015,-0.469,-11.469,23.77,7,1.95,245.0,808.2130000000002,0.0,0.156,0.0,0.2405,2000-01-08 09:25:00
10646,311.766,875.9960000000002,141.10598000000005,6.472,-0.319,-11.019,24.52,8,1.45,223.2,808.25,0.0,0.21600000000000005,0.0,0.2415,2000-01-08 09:26:00
10647,306.94,852.5269999999998,141.3131,6.682,-0.112,-10.812,24.62,9,2.2,228.3,808.302,0.0,0.121,0.0,0.2406,2000-01-08 09:27:00
10648,302.172,829.967,141.52071,6.76,-0.091,-10.991,24.1,9,1.95,236.1,808.326,0.0,0.118,0.0,0.2393,2000-01-08 09:28:00
10649,308.798,845.831,141.7288,6.815,-0.107,-11.107,23.76,8,1.95,254.3,808.331,0.0,0.231,0.0,0.2396,2000-01-08 09:29:00
10650,323.941,889.3810000000002,141.93737,6.941,-0.068,-11.368,23.01,8,2.2,263.5,808.31,0.0,0.202,0.0,0.2405,2000-01-08 09:30:00
10651,331.903,907.902,142.14643999999996,7.0360000000000005,-0.133,-11.733,22.12,8,2.95,266.7,808.2760000000002,0.0,0.124,0.0,0.2406,2000-01-08 09:31:00
10652,328.798,892.435,142.35598000000005,6.981,-0.086,-11.586,22.5,9,2.7,262.0,808.27,0.0,0.177,0.0,0.2404,2000-01-08 09:32:00
10653,334.8930000000001,905.461,142.56602,6.9689999999999985,-0.209,-11.709,22.27,9,2.2,265.0,808.2719999999998,0.0,0.205,0.0,0.2394,2000-01-08 09:33:00
10654,339.548,912.255,142.77653999999995,7.05,-0.153,-11.653,22.26,9,2.2,262.7,808.295,0.0,0.166,0.0,0.2393,2000-01-08 09:34:00
10655,342.5619999999999,906.582,142.98755,7.126,-0.172,-12.172,21.13,9,1.95,249.9,808.2869999999998,0.0,0.108,0.0,0.2375,2000-01-08 09:35:00
10656,261.579,655.451,143.19906,7.17,-0.07400000000000001,-11.874,21.64,8,1.45,225.7,808.278,0.0,0.184,0.0,0.2311,2000-01-08 09:36:00
10657,327.448,859.5269999999998,143.41104,7.278,-0.041,-11.741,21.74,8,1.45,231.2,808.268,0.0,0.108,0.0,0.2377,2000-01-08 09:37:00
10658,342.01199999999994,896.181,143.62351999999996,7.377000000000002,0.054000000000000006,-11.646,21.78,8,1.7,238.7,808.2489999999998,0.0,0.196,0.0,0.2368,2000-01-08 09:38:00
10659,328.526,850.585,143.83649,7.558,0.158,-11.442,21.91,10,0.95,217.0,808.216,0.0,0.225,0.0,0.2347,2000-01-08 09:39:00
10660,332.16,859.0239999999999,144.04995,7.803,0.34600000000000003,-11.654000000000002,21.14,9,0.95,204.6,808.171,0.0,0.097,0.0,0.2347,2000-01-08 09:40:00
10661,340.28,877.378,144.26389,7.951,0.384,-11.716,20.81,9,0.0,0.0,808.143,0.0,0.027000000000000003,0.0,0.235,2000-01-08 09:41:00
10662,327.237,838.895,144.47833,8.11,0.331,-12.069,19.94,6,0.95,251.4,808.105,0.0,0.532,0.0,0.23399999999999999,2000-01-08 09:42:00
10663,327.045,833.623,144.69325,8.17,0.426,-12.074000000000002,19.85,6,0.0,0.0,808.081,0.0,0.08199999999999999,0.0,0.2326,2000-01-08 09:43:00
10664,343.466,886.4060000000002,144.90867,8.24,0.495,-12.005,19.88,6,0.0,0.0,808.0419999999998,0.0,0.14300000000000002,0.0,0.23399999999999999,2000-01-08 09:44:00
10665,358.741,927.675,145.12457,8.46,0.616,-11.884,19.8,8,0.0,0.0,808.015,0.0,0.106,0.0,0.23399999999999999,2000-01-08 09:45:00
10666,360.58,929.732,145.34097,8.78,0.8390000000000001,-11.661,19.77,8,0.0,0.0,808.0060000000002,0.0,0.149,0.0,0.2337,2000-01-08 09:46:00
10667,361.934,931.007,145.55785,9.09,0.926,-11.974,18.82,8,1.2,165.3,808.005,0.0,0.269,0.0,0.2335,2000-01-08 09:47:00
10668,363.768,932.46,145.77523,9.21,0.957,-11.943,18.72,7,1.45,162.1,807.9860000000001,0.0,0.114,0.0,0.2331,2000-01-08 09:48:00
10669,365.589,932.899,145.99309,9.28,1.003,-12.197,18.21,9,0.7,181.9,807.959,0.0,0.042,0.0,0.233,2000-01-08 09:49:00
10670,367.768,934.026,146.21145,9.41,1.106,-11.794,18.72,8,0.0,0.0,807.91,0.0,0.532,0.0,0.2327,2000-01-08 09:50:00
10671,369.7,935.235,146.43029,9.55,1.167,-11.833,18.48,7,1.45,112.4,807.872,0.0,0.14400000000000002,0.0,0.2326,2000-01-08 09:51:00
10672,371.666,937.025,146.64962,9.67,1.186,-12.214,17.71,8,1.2,95.7,807.867,0.0,0.532,0.0,0.2324,2000-01-08 09:52:00
10673,373.904,938.444,146.86944,9.9,1.276,-12.424,17.11,8,0.0,0.0,807.8960000000002,0.0,0.532,0.0,0.2316,2000-01-08 09:53:00
10674,376.091,940.038,147.08975,10.14,1.469,-12.130999999999998,17.29,8,0.45,214.2,807.927,0.0,0.532,0.0,0.231,2000-01-08 09:54:00
10675,378.199,940.97,147.31055,10.27,1.5490000000000002,-12.151,17.11,11,1.2,242.5,807.934,0.0,0.532,0.0,0.2308,2000-01-08 09:55:00
10676,379.922,942.092,147.53183,10.26,1.5,-12.1,17.2,12,1.2,241.6,807.935,0.0,0.532,0.0,0.2309,2000-01-08 09:56:00
10677,382.36300000000006,944.4,147.7536,10.14,1.392,-12.208,17.17,10,1.45,249.5,807.9169999999998,0.0,0.532,0.0,0.2304,2000-01-08 09:57:00
10678,384.213,944.813,147.97586,10.09,1.445,-12.155,17.31,10,0.0,0.0,807.914,0.0,0.532,0.0,0.2297,2000-01-08 09:58:00
10679,385.607,944.53,148.1986,10.31,1.585,-12.115,17.12,11,0.0,0.0,807.915,0.0,0.532,0.0,0.2292,2000-01-08 09:59:00
10680,386.917,944.083,148.42183,10.5,1.7180000000000002,-11.782,17.42,11,0.0,0.0,807.941,0.0,0.532,0.0,0.22899999999999998,2000-01-08 10:00:00
10681,388.259,943.85,148.64553999999995,10.67,1.921,-11.379,17.86,10,1.2,231.1,807.941,0.0,0.532,0.0,0.2286,2000-01-08 10:01:00
10682,390.242,944.987,148.86973,10.69,1.795,-11.905,17.01,10,1.7,252.4,807.922,0.0,0.532,0.0,0.2292,2000-01-08 10:02:00
10683,392.372,946.925,149.09441,10.59,1.7819999999999998,-11.818,17.26,10,0.0,0.0,807.845,0.0,0.532,0.0,0.2285,2000-01-08 10:03:00
10684,394.592,949.338,149.31957,10.64,1.7180000000000002,-11.982,16.95,10,1.2,7.218,807.7539999999998,0.0,0.532,0.0,0.2279,2000-01-08 10:04:00
10685,396.902,951.856,149.54521,10.57,1.69,-11.91,17.14,12,1.7,16.59,807.687,0.0,0.532,0.0,0.2278,2000-01-08 10:05:00
10686,399.043,952.29,149.77133,10.33,1.6369999999999998,-11.863,17.49,12,1.7,17.44,807.679,0.0,0.023,0.0,0.22699999999999998,2000-01-08 10:06:00
10687,401.564,952.4,149.99794,10.28,1.663,-11.337,18.4,12,2.2,25.05,807.71,0.0,0.101,0.0,0.2266,2000-01-08 10:07:00
10688,372.686,868.802,150.22502,10.26,1.895,-10.405,20.03,10,2.45,26.07,807.7230000000002,0.0,0.059,0.0,0.2246,2000-01-08 10:08:00
10689,400.468,940.398,150.45257,10.22,1.785,-10.615,19.71,9,1.45,20.61,807.7489999999998,0.0,0.083,0.0,0.2264,2000-01-08 10:09:00
10690,405.087,946.994,150.68061,10.33,1.873,-10.727,19.37,12,0.95,67.21,807.747,0.0,0.17,0.0,0.2252,2000-01-08 10:10:00
10691,406.427,947.24,150.90912,10.56,1.963,-10.637,19.23,14,1.7,224.6,807.745,0.0,0.532,0.0,0.2252,2000-01-08 10:11:00
10692,408.417,949.258,151.1381,10.61,1.898,-11.202,18.22,14,1.7,236.0,807.742,0.0,0.532,0.0,0.2252,2000-01-08 10:12:00
10693,410.003,950.477,151.36755,10.56,1.922,-10.878,18.82,11,0.7,226.8,807.737,0.0,0.061,0.0,0.2249,2000-01-08 10:13:00
10694,412.309,953.409,151.59748000000005,10.57,2.0580000000000003,-10.342,19.73,10,1.2,185.4,807.7289999999998,0.0,0.156,0.0,0.2247,2000-01-08 10:14:00
10695,414.328,954.748,151.82788,10.7,2.112,-10.188,19.83,10,1.95,152.6,807.688,0.0,0.156,0.0,0.2248,2000-01-08 10:15:00
10696,410.771,940.455,152.05874,10.69,2.089,-10.511,19.28,12,2.45,140.6,807.6110000000001,0.0,0.532,0.0,0.22399999999999998,2000-01-08 10:16:00
10697,417.136,954.415,152.29007,10.49,2.001,-10.199,20.09,10,3.2,114.5,807.5239999999999,0.0,0.149,0.0,0.2247,2000-01-08 10:17:00
10698,421.2480000000001,958.658,152.52187,10.26,1.845,-10.455,19.94,8,3.45,122.2,807.4639999999998,0.0,0.086,0.0,0.2247,2000-01-08 10:18:00
10699,423.668,959.621,152.75413,10.05,1.7519999999999998,-10.248,20.6,11,2.95,111.3,807.433,0.0,0.328,0.0,0.2241,2000-01-08 10:19:00
10700,425.912,960.6,152.98686,9.96,1.686,-10.414,20.42,13,2.7,119.5,807.426,0.0,0.297,0.0,0.2236,2000-01-08 10:20:00
10701,427.14,959.912,153.22003999999995,9.95,1.7519999999999998,-10.048,21.11,13,2.2,122.1,807.431,0.0,0.478,0.0,0.223,2000-01-08 10:21:00
10702,428.482,959.328,153.45369,10.09,1.706,-10.594,19.92,12,2.45,121.3,807.442,0.0,0.202,0.0,0.2234,2000-01-08 10:22:00
10703,430.3130000000001,960.461,153.68778999999995,10.12,1.779,-10.321,20.37,12,1.7,144.5,807.451,0.0,0.373,0.0,0.223,2000-01-08 10:23:00
10704,431.731,961.232,153.92234,10.26,1.832,-10.568,19.74,13,1.7,167.1,807.445,0.0,0.263,0.0,0.2229,2000-01-08 10:24:00
10705,432.901,961.158,154.15735,10.38,2.033,-9.967,20.66,12,2.2,149.8,807.443,0.0,0.312,0.0,0.2228,2000-01-08 10:25:00
10706,433.891,960.143,154.39282,10.59,2.047,-10.453,19.51,13,1.7,155.1,807.418,0.0,0.319,0.0,0.2231,2000-01-08 10:26:00
10707,435.125,960.41,154.62873000000005,10.67,2.087,-10.313,19.65,14,1.95,147.6,807.4060000000002,0.0,0.3,0.0,0.2233,2000-01-08 10:27:00
10708,436.942,961.968,154.86508999999995,10.69,2.073,-10.627,19.08,15,2.45,151.7,807.3580000000002,0.0,0.226,0.0,0.2232,2000-01-08 10:28:00
10709,439.228,964.505,155.1019,10.6,2.045,-10.555,19.32,13,2.45,125.5,807.294,0.0,0.247,0.0,0.2231,2000-01-08 10:29:00
10710,441.38,966.861,155.33914,10.45,1.903,-10.597,19.44,13,2.2,126.2,807.25,0.0,0.331,0.0,0.2233,2000-01-08 10:30:00
10711,443.744,968.109,155.57683,10.4,1.865,-10.635,19.44,12,2.7,108.8,807.25,0.0,0.354,0.0,0.223,2000-01-08 10:31:00
10712,444.975,967.936,155.81496,10.42,1.789,-10.911,18.94,12,1.7,89.0,807.301,0.0,0.236,0.0,0.2228,2000-01-08 10:32:00
10713,445.265,966.148,156.05353,10.59,1.885,-10.915,18.72,10,1.2,105.7,807.365,0.0,0.095,0.0,0.2229,2000-01-08 10:33:00
10714,446.712,967.441,156.29253,10.66,1.905,-11.195,18.17,10,1.2,245.9,807.409,0.0,0.008,0.0,0.2228,2000-01-08 10:34:00
10715,447.751,967.682,156.53196,10.56,1.88,-11.22,18.25,10,1.2,197.4,807.422,0.0,0.16899999999999998,0.0,0.2225,2000-01-08 10:35:00
10716,449.30300000000005,969.218,156.77183,10.48,1.805,-11.195,18.39,10,1.7,238.6,807.3810000000002,0.0,0.532,0.0,0.2224,2000-01-08 10:36:00
10717,451.152,972.46,157.01211,10.47,1.84,-11.16,18.46,9,0.0,0.0,807.293,0.0,0.532,0.0,0.2216,2000-01-08 10:37:00
10718,452.985,975.21,157.25283000000005,10.67,1.927,-10.873,18.69,8,2.2,51.58,807.168,0.0,0.097,0.0,0.2214,2000-01-08 10:38:00
10719,454.431,976.014,157.49396000000004,10.91,2.094,-10.906,18.34,9,2.95,96.1,807.085,0.0,0.247,0.0,0.2224,2000-01-08 10:39:00
10720,456.416,977.1,157.73552,11.06,2.132,-10.868,18.22,7,1.7,98.6,807.085,0.0,0.181,0.0,0.2222,2000-01-08 10:40:00
10721,457.63,976.593,157.97749,11.09,2.119,-11.181,17.68,7,0.0,0.0,807.0989999999998,0.0,0.532,0.0,0.2217,2000-01-08 10:41:00
10722,458.755,977.136,158.21987,11.21,2.314,-10.586,18.5,9,1.7,155.4,807.107,0.0,0.258,0.0,0.2215,2000-01-08 10:42:00
10723,460.237,977.668,158.46267,11.42,2.418,-10.582,18.25,9,1.45,166.8,807.1060000000001,0.0,0.184,0.0,0.2216,2000-01-08 10:43:00
10724,461.635,977.686,158.70587,11.56,2.482,-10.808,17.72,7,2.2,139.6,807.0939999999998,0.0,0.382,0.0,0.2219,2000-01-08 10:44:00
10725,462.509,977.328,158.94948,11.52,2.461,-10.539,18.2,5,1.7,154.0,807.075,0.0,0.248,0.0,0.2221,2000-01-08 10:45:00
10726,464.05300000000005,978.194,159.19349,11.54,2.376,-10.924,17.56,5,2.45,157.5,807.04,0.0,0.217,0.0,0.2221,2000-01-08 10:46:00
10727,465.764,979.029,159.4379,11.5,2.363,-11.237,17.12,7,2.2,131.6,807.041,0.0,0.079,0.0,0.2222,2000-01-08 10:47:00
10728,467.203,978.078,159.6827,11.31,2.184,-11.416,17.06,7,1.95,122.4,807.062,0.0,0.052000000000000005,0.0,0.2221,2000-01-08 10:48:00
10729,468.216,976.946,159.9279,11.14,2.225,-10.975,17.95,7,2.7,122.4,807.045,0.0,0.264,0.0,0.2215,2000-01-08 10:49:00
